1.0,58.0,1.0,1,5.0,135.0,5.0,23.0,154.0,23.0,0,1,23.5,138.5,23.5,0
4.0,58.0,4.0,1,8.0,135.0,7.0,28.0,154.0,24.0,0,1,25.5,138.5,24.5,0
3.0,58.0,4.0,1,7.0,135.0,6.0,24.0,154.0,26.0,0,1,28.5,138.5,24.5,0
2.5,56.5,2.5,1,10.0,130.0,10.0,5.5,182.5,5.5,0,1,24.5,137.5,24.5,0
7.5,56.5,4.5,1,15.0,130.0,14.0,6.5,182.5,6.5,0,1,29.5,137.5,26.5,0
7.5,56.5,5.5,1,15.0,130.0,12.0,6.5,182.5,7.5,0,1,29.5,137.5,28.5,0
11.0,50.0,11.0,1,1.0,119.0,1.0,20.5,239.5,20.5,0,1,0.0,140.0,0.0,0
15.0,50.0,13.0,1,3.0,119.0,3.0,22.5,239.5,23.5,0,1,5.0,140.0,4.0,0
1.5,59.5,1.5,1,10.0,110.0,10.0,13.0,247.0,13.0,0,1,8.0,148.0,8.0,0
6.5,59.5,2.5,1,11.0,110.0,14.0,18.0,247.0,14.0,0,1,10.0,148.0,13.0,0
6.5,59.5,3.5,1,13.0,110.0,15.0,18.0,247.0,18.0,0,1,13.0,148.0,11.0,0
1.5,59.5,1.5,1,13.0,133.0,13.0,21.0,239.0,21.0,0,1,17.5,122.5,17.5,0
4.5,59.5,4.5,1,17.0,133.0,15.0,23.0,239.0,25.0,0,1,19.5,122.5,22.5,0
2.0,59.0,2.0,1,2.0,122.0,2.0,0.5,260.5,0.5,0,1,0.5,140.5,0.5,0
6.0,59.0,5.0,1,6.0,122.0,6.0,5.5,260.5,4.5,0,1,1.5,140.5,2.5,0
6.0,59.0,3.0,1,3.0,122.0,4.0,2.5,260.5,3.5,0,1,2.5,140.5,5.5,0
7.5,53.5,7.5,1,10.0,130.0,10.0,25.5,285.5,25.5,0,1,10.0,130.0,10.0,0
8.5,53.5,11.5,1,11.0,130.0,11.0,30.5,285.5,29.5,0,1,13.0,130.0,12.0,0
8.5,53.5,12.5,1,14.0,130.0,11.0,30.5,285.5,26.5,0,1,13.0,130.0,14.0,0
1.0,60.0,1.0,1,7.0,127.0,7.0,28.0,232.0,28.0,0,1,11.0,151.0,11.0,0
2.0,59.0,2.0,1,5.0,115.0,5.0,37.5,297.5,37.5,0,1,1.5,141.5,1.5,0
7.0,59.0,4.0,1,7.0,115.0,8.0,40.5,297.5,38.5,0,1,5.5,141.5,4.5,0
3.0,59.0,5.0,1,8.0,115.0,7.0,39.5,297.5,38.5,0,1,3.5,141.5,5.5,0
1.5,59.5,1.5,1,3.0,117.0,3.0,29.0,289.0,29.0,0,1,0.0,140.0,0.0,0
6.5,59.5,4.5,1,7.0,117.0,4.0,30.0,289.0,30.0,0,1,1.0,140.0,3.0,0
3.5,59.5,5.5,1,7.0,117.0,5.0,34.0,289.0,33.0,0,1,1.0,140.0,2.0,0
8.5,52.5,8.5,1,0.0,120.0,0.0,45.5,214.5,45.5,0,1,2.0,142.0,2.0,0
8.0,53.0,8.0,1,5.0,115.0,5.0,2.0,262.0,2.0,0,1,4.0,136.0,4.0,0
12.0,53.0,10.0,1,10.0,115.0,6.0,4.0,262.0,7.0,0,1,7.0,136.0,9.0,0
10.0,53.0,11.0,1,6.0,115.0,7.0,5.0,262.0,4.0,0,1,7.0,136.0,8.0,0
2.0,59.0,2.0,1,5.0,125.0,5.0,64.5,195.5,64.5,0,1,12.5,127.5,12.5,0
4.0,59.0,7.0,1,6.0,125.0,10.0,69.5,195.5,65.5,0,1,14.5,127.5,16.5,0
3.0,58.0,3.0,1,6.0,126.0,6.0,46.5,306.5,46.5,0,1,4.0,136.0,4.0,0
5.0,58.0,4.0,1,7.0,126.0,8.0,50.5,306.5,48.5,0,1,6.0,136.0,8.0,0
8.0,58.0,6.0,1,10.0,126.0,8.0,50.5,306.5,49.5,0,1,7.0,136.0,6.0,0
0.5,61.5,0.5,1,0.0,120.0,0.0,3.5,263.5,3.5,0,1,20.5,119.5,20.5,0
2.5,61.5,1.5,1,5.0,120.0,2.0,7.5,263.5,5.5,0,1,24.5,119.5,23.5,0
2.5,61.5,3.5,1,3.0,120.0,2.0,7.5,263.5,7.5,0,1,24.5,119.5,24.5,0
4.5,56.5,4.5,1,4.0,124.0,4.0,2.5,257.5,2.5,0,1,10.5,150.5,10.5,0
5.5,56.5,7.5,1,5.0,124.0,7.0,7.5,257.5,6.5,0,1,14.5,150.5,12.5,0
4.0,61.0,4.0,1,8.0,127.0,12.0,17.0,247.0,14.0,0,1,3.5,142.5,7.5,0
3.0,61.0,3.0,1,10.0,127.0,11.0,16.0,247.0,15.0,0,1,6.5,142.5,5.5,0
9.5,51.5,9.5,1,8.0,128.0,8.0,27.5,287.5,27.5,0,1,7.5,132.5,7.5,0
12.5,51.5,10.5,1,10.0,128.0,12.0,30.5,287.5,29.5,0,1,9.5,132.5,9.5,0
12.5,51.5,14.5,1,13.0,128.0,10.0,28.5,287.5,29.5,0,1,9.5,132.5,12.5,0
3.5,57.5,3.5,1,0.0,120.0,0.0,36.0,224.0,36.0,0,1,13.5,126.5,13.5,0
8.5,57.5,4.5,1,3.0,120.0,3.0,37.0,224.0,40.0,0,1,16.5,126.5,17.5,0
3.5,57.5,3.5,1,5.0,115.0,5.0,10.5,249.5,10.5,0,1,7.0,133.0,7.0,0
8.5,57.5,8.5,1,6.0,115.0,8.0,12.5,249.5,11.5,0,1,10.0,133.0,12.0,0
8.5,57.5,6.5,1,9.0,115.0,8.0,14.5,249.5,13.5,0,1,9.0,133.0,11.0,0
